"","X","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length_large"
"1",1,5.1,3.5,1.4,0.2,"setosa",1
"2",2,4.9,3,1.4,0.2,"setosa",0
"3",3,4.7,3.2,1.3,0.2,"setosa",0
"4",4,4.6,3.1,1.5,0.2,"setosa",0
"5",5,5,3.6,1.4,0.2,"setosa",0
"6",6,5.4,3.9,1.7,0.4,"setosa",1
"7",7,4.6,3.4,1.4,0.3,"setosa",0
"8",8,5,3.4,1.5,0.2,"setosa",0
"9",9,4.4,2.9,1.4,0.2,"setosa",0
"10",10,4.9,3.1,1.5,0.1,"setosa",0
"11",11,5.4,3.7,1.5,0.2,"setosa",1
"12",12,4.8,3.4,1.6,0.2,"setosa",0
"13",13,4.8,3,1.4,0.1,"setosa",0
"14",14,4.3,3,1.1,0.1,"setosa",0
"15",15,5.8,4,1.2,0.2,"setosa",1
"16",16,5.7,4.4,1.5,0.4,"setosa",1
"17",17,5.4,3.9,1.3,0.4,"setosa",1
"18",18,5.1,3.5,1.4,0.3,"setosa",1
"19",19,5.7,3.8,1.7,0.3,"setosa",1
"20",20,5.1,3.8,1.5,0.3,"setosa",1
"21",21,5.4,3.4,1.7,0.2,"setosa",1
"22",22,5.1,3.7,1.5,0.4,"setosa",1
"23",23,4.6,3.6,1,0.2,"setosa",0
"24",24,5.1,3.3,1.7,0.5,"setosa",1
"25",25,4.8,3.4,1.9,0.2,"setosa",0
"26",26,5,3,1.6,0.2,"setosa",0
"27",27,5,3.4,1.6,0.4,"setosa",0
"28",28,5.2,3.5,1.5,0.2,"setosa",1
"29",29,5.2,3.4,1.4,0.2,"setosa",1
"30",30,4.7,3.2,1.6,0.2,"setosa",0
"31",31,4.8,3.1,1.6,0.2,"setosa",0
"32",32,5.4,3.4,1.5,0.4,"setosa",1
"33",33,5.2,4.1,1.5,0.1,"setosa",1
"34",34,5.5,4.2,1.4,0.2,"setosa",1
"35",35,4.9,3.1,1.5,0.2,"setosa",0
"36",36,5,3.2,1.2,0.2,"setosa",0
"37",37,5.5,3.5,1.3,0.2,"setosa",1
"38",38,4.9,3.6,1.4,0.1,"setosa",0
"39",39,4.4,3,1.3,0.2,"setosa",0
"40",40,5.1,3.4,1.5,0.2,"setosa",1
"41",41,5,3.5,1.3,0.3,"setosa",0
"42",42,4.5,2.3,1.3,0.3,"setosa",0
"43",43,4.4,3.2,1.3,0.2,"setosa",0
"44",44,5,3.5,1.6,0.6,"setosa",0
"45",45,5.1,3.8,1.9,0.4,"setosa",1
"46",46,4.8,3,1.4,0.3,"setosa",0
"47",47,5.1,3.8,1.6,0.2,"setosa",1
"48",48,4.6,3.2,1.4,0.2,"setosa",0
"49",49,5.3,3.7,1.5,0.2,"setosa",1
"50",50,5,3.3,1.4,0.2,"setosa",0
"51",51,7,3.2,4.7,1.4,"versicolor",1
"52",52,6.4,3.2,4.5,1.5,"versicolor",1
"53",53,6.9,3.1,4.9,1.5,"versicolor",1
"54",54,5.5,2.3,4,1.3,"versicolor",1
"55",55,6.5,2.8,4.6,1.5,"versicolor",1
"56",56,5.7,2.8,4.5,1.3,"versicolor",1
"57",57,6.3,3.3,4.7,1.6,"versicolor",1
"58",58,4.9,2.4,3.3,1,"versicolor",0
"59",59,6.6,2.9,4.6,1.3,"versicolor",1
"60",60,5.2,2.7,3.9,1.4,"versicolor",1
"61",61,5,2,3.5,1,"versicolor",0
"62",62,5.9,3,4.2,1.5,"versicolor",1
"63",63,6,2.2,4,1,"versicolor",1
"64",64,6.1,2.9,4.7,1.4,"versicolor",1
"65",65,5.6,2.9,3.6,1.3,"versicolor",1
"66",66,6.7,3.1,4.4,1.4,"versicolor",1
"67",67,5.6,3,4.5,1.5,"versicolor",1
"68",68,5.8,2.7,4.1,1,"versicolor",1
"69",69,6.2,2.2,4.5,1.5,"versicolor",1
"70",70,5.6,2.5,3.9,1.1,"versicolor",1
"71",71,5.9,3.2,4.8,1.8,"versicolor",1
"72",72,6.1,2.8,4,1.3,"versicolor",1
"73",73,6.3,2.5,4.9,1.5,"versicolor",1
"74",74,6.1,2.8,4.7,1.2,"versicolor",1
"75",75,6.4,2.9,4.3,1.3,"versicolor",1
"76",76,6.6,3,4.4,1.4,"versicolor",1
"77",77,6.8,2.8,4.8,1.4,"versicolor",1
"78",78,6.7,3,5,1.7,"versicolor",1
"79",79,6,2.9,4.5,1.5,"versicolor",1
"80",80,5.7,2.6,3.5,1,"versicolor",1
"81",81,5.5,2.4,3.8,1.1,"versicolor",1
"82",82,5.5,2.4,3.7,1,"versicolor",1
"83",83,5.8,2.7,3.9,1.2,"versicolor",1
"84",84,6,2.7,5.1,1.6,"versicolor",1
"85",85,5.4,3,4.5,1.5,"versicolor",1
"86",86,6,3.4,4.5,1.6,"versicolor",1
"87",87,6.7,3.1,4.7,1.5,"versicolor",1
"88",88,6.3,2.3,4.4,1.3,"versicolor",1
"89",89,5.6,3,4.1,1.3,"versicolor",1
"90",90,5.5,2.5,4,1.3,"versicolor",1
"91",91,5.5,2.6,4.4,1.2,"versicolor",1
"92",92,6.1,3,4.6,1.4,"versicolor",1
"93",93,5.8,2.6,4,1.2,"versicolor",1
"94",94,5,2.3,3.3,1,"versicolor",0
"95",95,5.6,2.7,4.2,1.3,"versicolor",1
"96",96,5.7,3,4.2,1.2,"versicolor",1
"97",97,5.7,2.9,4.2,1.3,"versicolor",1
"98",98,6.2,2.9,4.3,1.3,"versicolor",1
"99",99,5.1,2.5,3,1.1,"versicolor",1
"100",100,5.7,2.8,4.1,1.3,"versicolor",1
"101",101,6.3,3.3,6,2.5,"virginica",1
"102",102,5.8,2.7,5.1,1.9,"virginica",1
"103",103,7.1,3,5.9,2.1,"virginica",1
"104",104,6.3,2.9,5.6,1.8,"virginica",1
"105",105,6.5,3,5.8,2.2,"virginica",1
"106",106,7.6,3,6.6,2.1,"virginica",1
"107",107,4.9,2.5,4.5,1.7,"virginica",0
"108",108,7.3,2.9,6.3,1.8,"virginica",1
"109",109,6.7,2.5,5.8,1.8,"virginica",1
"110",110,7.2,3.6,6.1,2.5,"virginica",1
"111",111,6.5,3.2,5.1,2,"virginica",1
"112",112,6.4,2.7,5.3,1.9,"virginica",1
"113",113,6.8,3,5.5,2.1,"virginica",1
"114",114,5.7,2.5,5,2,"virginica",1
"115",115,5.8,2.8,5.1,2.4,"virginica",1
"116",116,6.4,3.2,5.3,2.3,"virginica",1
"117",117,6.5,3,5.5,1.8,"virginica",1
"118",118,7.7,3.8,6.7,2.2,"virginica",1
"119",119,7.7,2.6,6.9,2.3,"virginica",1
"120",120,6,2.2,5,1.5,"virginica",1
"121",121,6.9,3.2,5.7,2.3,"virginica",1
"122",122,5.6,2.8,4.9,2,"virginica",1
"123",123,7.7,2.8,6.7,2,"virginica",1
"124",124,6.3,2.7,4.9,1.8,"virginica",1
"125",125,6.7,3.3,5.7,2.1,"virginica",1
"126",126,7.2,3.2,6,1.8,"virginica",1
"127",127,6.2,2.8,4.8,1.8,"virginica",1
"128",128,6.1,3,4.9,1.8,"virginica",1
"129",129,6.4,2.8,5.6,2.1,"virginica",1
"130",130,7.2,3,5.8,1.6,"virginica",1
"131",131,7.4,2.8,6.1,1.9,"virginica",1
"132",132,7.9,3.8,6.4,2,"virginica",1
"133",133,6.4,2.8,5.6,2.2,"virginica",1
"134",134,6.3,2.8,5.1,1.5,"virginica",1
"135",135,6.1,2.6,5.6,1.4,"virginica",1
"136",136,7.7,3,6.1,2.3,"virginica",1
"137",137,6.3,3.4,5.6,2.4,"virginica",1
"138",138,6.4,3.1,5.5,1.8,"virginica",1
"139",139,6,3,4.8,1.8,"virginica",1
"140",140,6.9,3.1,5.4,2.1,"virginica",1
"141",141,6.7,3.1,5.6,2.4,"virginica",1
"142",142,6.9,3.1,5.1,2.3,"virginica",1
"143",143,5.8,2.7,5.1,1.9,"virginica",1
"144",144,6.8,3.2,5.9,2.3,"virginica",1
"145",145,6.7,3.3,5.7,2.5,"virginica",1
"146",146,6.7,3,5.2,2.3,"virginica",1
"147",147,6.3,2.5,5,1.9,"virginica",1
"148",148,6.5,3,5.2,2,"virginica",1
"149",149,6.2,3.4,5.4,2.3,"virginica",1
"150",150,5.9,3,5.1,1.8,"virginica",1
